Order Number,Year,Month,Day,Product Number,Product Name,Count,Extra Col1,Extra Col2,Empty Column
1029,2015,04,02,P-48414,cucumber,125.75,Lorem,Ipsum,
1030,abcd,06,05,P-79887,Broccoli,553.50,Lorem,Ipsum,
1031,abcd,02,17,P-63278,Spinach,208.00,Lorem,Ipsum,
1032,2016,11,18,P-53733,broccoli,693.25,Lorem,Ipsum,
1033,2018,13,20,P-52974,Spinach,68.50,Lorem,Ipsum,
XYZ1034,2015,07,28,P-22501,Carrot,659.25,Lorem,Ipsum,
XYZ1035,2018,04,15,P-97246,Zucchini,157.75,Lorem,Ipsum,
XYZ1036,2018,10,06,P-75153,Spinach,993.50,Lorem,Ipsum,
XYZ1037,2017,08,13,P-68663,Arugola,942.75,Lorem,Ipsum,
1038,abcd,05,18,P-37273,Broccoli,834.25,Lorem,Ipsum,
XYZ1039,2017,12,05,P-93560,Iceberg Lettuce,134.25,Lorem,Ipsum,
1040,2017,11,27,P-84061,iceberg lettuce,769.25,Lorem,Ipsum,
1041,abcd,06,27,P-69330,Arugola,274.50,Lorem,Ipsum,
1042,2021,13,28,P-19941,Cucumber,141.75,Lorem,Ipsum,
1043,2020,12,17,P-98724,Kale,346.00,Lorem,Ipsum,
1044,2018,13,19,P-83677,Spinach,965.00,Lorem,Ipsum,
1045,abcd,01,11,P-77807,Tomato,899.25,Lorem,Ipsum,
1046,2021,12,25,P-25987,carrot,154.50,Lorem,Ipsum,
1047,2017,07,26,P-75057,Iceberg Lettuce,84.00,Lorem,Ipsum,
1048,abcd,10,23,P-83060,Arugola,605.75,Lorem,Ipsum,
1049,2015,11,09,P-77997,iceberg lettuce,898.00,Lorem,Ipsum,
1050,2020,06,26,P-53696,broccoli,26.75,Lorem,Ipsum,
1051,abcd,07,03,P-41374,Arugola,289.00,Lorem,Ipsum,
1052,2017,13,21,P-81664,Iceberg Lettuce,88.75,Lorem,Ipsum,
XYZ1053,2017,06,04,P-58959,Spinach,693.50,Lorem,Ipsum,
1054,2017,13,21,P-95767,Zucchini,424.50,Lorem,Ipsum,
1055,2020,10,06,P-71093,tomato,756.50,Lorem,Ipsum,
1056,2017,05,05,P-47611,Spinach,694.50,Lorem,Ipsum,
1057,abcd,11,20,P-43707,Arugola,302.75,Lorem,Ipsum,
1058,abcd,07,12,P-85066,Carrot,252.75,Lorem,Ipsum,
1059,2017,01,22,P-24782,Cucumber,160.75,Lorem,Ipsum,
1060,abcd,03,03,P-41162,Zucchini,773.75,Lorem,Ipsum,
1061,2021,11,09,P-73770,Kale,610.75,Lorem,Ipsum,
1062,2017,03,11,P-39339,carrot,273.25,Lorem,Ipsum,
1063,2022,11,06,P-62967,iceberg lettuce,647.25,Lorem,Ipsum,
XYZ1064,2015,08,03,P-85588,Broccoli,497.75,Lorem,Ipsum,
1065,2022,04,09,P-68895,carrot,801.50,Lorem,Ipsum,
XYZ1066,2020,03,17,P-13611,Cucumber,460.50,Lorem,Ipsum,
1067,2015,11,05,P-36432,zucchini,677.75,Lorem,Ipsum,
1068,2022,05,27,P-30769,Spinach,698.00,Lorem,Ipsum,
1069,2022,10,25,P-88459,pepper,504.75,Lorem,Ipsum,
1070,abcd,09,04,P-93200,Broccoli,873.50,Lorem,Ipsum,
1071,2021,13,02,P-84896,Spinach,518.50,Lorem,Ipsum,
1072,2019,08,08,P-97479,carrot,808.25,Lorem,Ipsum,
1073,2017,13,23,P-50977,Spinach,207.50,Lorem,Ipsum,
1074,2016,13,16,P-83069,Zucchini,529.25,Lorem,Ipsum,
XYZ1075,2020,02,21,P-84420,Arugola,120.25,Lorem,Ipsum,
1076,abcd,02,28,P-56948,Carrot,838.00,Lorem,Ipsum,
1077,2021,13,27,P-50730,Pepper,520.00,Lorem,Ipsum,
1078,2021,08,03,P-97174,broccoli,364.75,Lorem,Ipsum,
1079,2020,13,26,P-69271,Broccoli,891.25,Lorem,Ipsum,
1080,2021,08,28,P-96514,Tomato,208.50,Lorem,Ipsum,
1081,2015,09,02,P-64081,broccoli,582.50,Lorem,Ipsum,
1082,2020,09,08,P-39133,pepper,429.25,Lorem,Ipsum,
1083,2015,10,19,P-31872,Carrot,743.75,Lorem,Ipsum,
1084,abcd,11,11,P-94082,Broccoli,657.00,Lorem,Ipsum,
XYZ1085,2015,01,17,P-75377,Spinach,200.00,Lorem,Ipsum,
1086,2018,04,16,P-65211,kale,57.75,Lorem,Ipsum,
1087,abcd,12,08,P-45819,Broccoli,404.75,Lorem,Ipsum,
XYZ1088,2017,12,12,P-74762,Pepper,461.00,Lorem,Ipsum,
1089,2019,13,22,P-25874,Spinach,415.50,Lorem,Ipsum,
1090,2022,05,15,P-92253,cucumber,293.75,Lorem,Ipsum,
1091,abcd,11,12,P-44238,Zucchini,411.00,Lorem,Ipsum,
1092,2020,13,06,P-67831,Kale,390.00,Lorem,Ipsum,
1093,2015,08,26,P-52439,Cucumber,711.75,Lorem,Ipsum,
1094,2017,13,10,P-71662,Kale,61.25,Lorem,Ipsum,
1095,abcd,03,10,P-84450,Tomato,660.00,Lorem,Ipsum,
1096,2019,10,11,P-30751,arugola,954.50,Lorem,Ipsum,
1097,2021,03,02,P-79896,iceberg lettuce,322.50,Lorem,Ipsum,
1098,2019,13,07,P-53125,Zucchini,653.50,Lorem,Ipsum,
1099,abcd,01,01,P-26333,Carrot,53.75,Lorem,Ipsum,
1100,2021,09,14,P-62145,zucchini,196.50,Lorem,Ipsum,
1101,2018,12,24,P-96469,iceberg lettuce,49.50,Lorem,Ipsum,
1102,2020,08,11,P-29292,carrot,169.75,Lorem,Ipsum,
1103,2016,02,06,P-23851,cucumber,208.50,Lorem,Ipsum,
1104,2019,13,10,P-90241,Spinach,328.50,Lorem,Ipsum,
1105,2019,12,02,P-25020,arugola,911.00,Lorem,Ipsum,
1106,2016,13,28,P-10450,Spinach,194.50,Lorem,Ipsum,
XYZ1107,2015,12,14,P-92093,Pepper,200.25,Lorem,Ipsum,
1108,2016,12,23,P-64630,Carrot,837.75,Lorem,Ipsum,
1109,2018,05,28,P-91739,arugola,41.25,Lorem,Ipsum,
1110,2020,02,23,P-98227,arugola,671.75,Lorem,Ipsum,
XYZ1111,2018,05,10,P-69124,Broccoli,114.75,Lorem,Ipsum,
1112,abcd,12,15,P-96785,Cucumber,982.75,Lorem,Ipsum,
XYZ1113,2022,11,13,P-77314,Kale,139.75,Lorem,Ipsum,
1114,abcd,05,12,P-25630,Broccoli,537.50,Lorem,Ipsum,
1115,abcd,03,16,P-44950,Pepper,395.75,Lorem,Ipsum,
1116,2016,01,18,P-13443,Arugola,966.75,Lorem,Ipsum,
XYZ1117,2020,10,08,P-78218,Broccoli,524.50,Lorem,Ipsum,
1118,2019,13,02,P-95162,Pepper,979.25,Lorem,Ipsum,
1119,2016,07,05,P-81936,carrot,803.00,Lorem,Ipsum,
1120,2020,10,13,P-58823,Cucumber,411.00,Lorem,Ipsum,
1121,2016,13,07,P-25326,Spinach,877.00,Lorem,Ipsum,
1122,2021,01,22,P-97529,zucchini,741.50,Lorem,Ipsum,
XYZ1123,2019,10,14,P-39126,Pepper,341.75,Lorem,Ipsum,
1124,abcd,06,14,P-25249,Tomato,810.50,Lorem,Ipsum,
XYZ1125,2020,10,21,P-94503,Tomato,840.50,Lorem,Ipsum,
1126,2017,05,27,P-40081,Iceberg Lettuce,736.00,Lorem,Ipsum,
1127,abcd,03,27,P-11619,Kale,894.00,Lorem,Ipsum,
1128,2019,13,10,P-83304,Iceberg Lettuce,188.00,Lorem,Ipsum,
1129,2022,04,27,P-93697,kale,671.00,Lorem,Ipsum,
1130,2016,13,21,P-26763,Zucchini,190.50,Lorem,Ipsum,
1131,2019,01,25,P-12039,Broccoli,124.75,Lorem,Ipsum,
1132,2016,13,11,P-13978,Arugola,892.75,Lorem,Ipsum,
XYZ1133,2018,03,02,P-28759,Kale,648.00,Lorem,Ipsum,
XYZ1134,2015,06,09,P-61190,Tomato,158.50,Lorem,Ipsum,
1135,abcd,01,10,P-49466,Carrot,968.00,Lorem,Ipsum,
1136,abcd,02,21,P-99907,Iceberg Lettuce,438.50,Lorem,Ipsum,
1137,2019,02,17,P-35074,zucchini,294.25,Lorem,Ipsum,
1138,2015,12,27,P-15275,zucchini,769.75,Lorem,Ipsum,
1139,abcd,06,14,P-31594,Zucchini,516.75,Lorem,Ipsum,
1140,2017,01,09,P-52150,Iceberg Lettuce,996.25,Lorem,Ipsum,
1141,2017,05,02,P-94334,iceberg lettuce,902.75,Lorem,Ipsum,
XYZ1142,2016,09,21,P-15543,Broccoli,541.75,Lorem,Ipsum,
XYZ1143,2015,04,17,P-78426,Cucumber,750.50,Lorem,Ipsum,
1144,2017,11,10,P-14948,Broccoli,434.25,Lorem,Ipsum,
1145,2019,07,20,P-90786,Zucchini,217.50,Lorem,Ipsum,
1146,2015,07,21,P-39483,broccoli,391.50,Lorem,Ipsum,
XYZ1147,2021,02,23,P-28101,Arugola,565.75,Lorem,Ipsum,
1148,abcd,02,11,P-39318,Iceberg Lettuce,856.00,Lorem,Ipsum,
1149,2015,10,15,P-64189,Zucchini,597.00,Lorem,Ipsum,
1150,2016,13,13,P-60862,Carrot,463.00,Lorem,Ipsum,
1151,abcd,02,03,P-16963,Tomato,553.00,Lorem,Ipsum,
1152,abcd,07,23,P-62166,Spinach,1000.00,Lorem,Ipsum,
XYZ1153,2016,06,09,P-80373,Tomato,72.00,Lorem,Ipsum,
XYZ1154,2017,06,03,P-23452,Zucchini,803.50,Lorem,Ipsum,
XYZ1155,2017,04,28,P-16774,Carrot,583.50,Lorem,Ipsum,
1156,abcd,12,12,P-60403,Spinach,76.75,Lorem,Ipsum,
XYZ1157,2020,10,28,P-96622,Pepper,965.00,Lorem,Ipsum,
1158,2016,13,24,P-90288,Arugola,159.75,Lorem,Ipsum,
1159,abcd,07,06,P-39235,Carrot,988.75,Lorem,Ipsum,
1160,2020,13,20,P-82056,Cucumber,58.75,Lorem,Ipsum,
1161,2020,10,09,P-51809,carrot,96.25,Lorem,Ipsum,
1162,abcd,11,14,P-15470,Spinach,431.00,Lorem,Ipsum,
1163,abcd,06,01,P-39921,Carrot,167.00,Lorem,Ipsum,
XYZ1164,2019,03,12,P-16019,Zucchini,61.25,Lorem,Ipsum,
XYZ1165,2021,08,10,P-41724,Carrot,80.50,Lorem,Ipsum,
1166,2022,10,14,P-46428,cucumber,897.50,Lorem,Ipsum,
XYZ1167,2022,08,04,P-23320,Spinach,443.25,Lorem,Ipsum,
XYZ1168,2017,03,05,P-43608,Iceberg Lettuce,860.00,Lorem,Ipsum,
1169,abcd,05,12,P-87781,Iceberg Lettuce,747.25,Lorem,Ipsum,
1170,2021,07,25,P-86809,Cucumber,208.25,Lorem,Ipsum,
1171,2015,13,15,P-90838,Broccoli,965.50,Lorem,Ipsum,
1172,abcd,10,04,P-93035,Iceberg Lettuce,885.50,Lorem,Ipsum,
XYZ1173,2020,12,28,P-33580,Tomato,822.50,Lorem,Ipsum,
1174,2019,12,02,P-59602,Zucchini,893.75,Lorem,Ipsum,
1175,2018,10,15,P-85135,Kale,523.50,Lorem,Ipsum,
1176,abcd,12,22,P-13527,Pepper,81.50,Lorem,Ipsum,
1177,2016,13,14,P-27485,Tomato,964.25,Lorem,Ipsum,
1178,2016,10,07,P-17669,pepper,61.50,Lorem,Ipsum,
XYZ1179,2019,01,08,P-47898,Kale,737.25,Lorem,Ipsum,
XYZ1180,2017,02,27,P-46644,Iceberg Lettuce,487.25,Lorem,Ipsum,
1181,2020,13,02,P-91007,Zucchini,479.00,Lorem,Ipsum,
1182,2020,08,13,P-83127,broccoli,868.50,Lorem,Ipsum,
1183,2020,13,16,P-46084,Cucumber,262.25,Lorem,Ipsum,
1184,2020,13,28,P-42645,Spinach,604.00,Lorem,Ipsum,
1185,2021,13,27,P-11310,Kale,822.75,Lorem,Ipsum,
1186,2015,09,19,P-18308,pepper,14.75,Lorem,Ipsum,
1187,2022,08,22,P-62782,Cucumber,171.25,Lorem,Ipsum,
1188,2016,13,10,P-57911,Zucchini,957.00,Lorem,Ipsum,
XYZ1189,2021,05,08,P-33812,Zucchini,712.50,Lorem,Ipsum,
1190,2015,04,13,P-62328,cucumber,869.00,Lorem,Ipsum,
1191,abcd,12,21,P-56338,Tomato,166.00,Lorem,Ipsum,
1192,2020,01,23,P-64922,Broccoli,884.25,Lorem,Ipsum,
1193,2022,01,04,P-22938,tomato,303.50,Lorem,Ipsum,
1194,2017,05,13,P-87949,Spinach,513.75,Lorem,Ipsum,
1195,2015,13,27,P-21856,Carrot,802.25,Lorem,Ipsum,
XYZ1196,2016,02,12,P-41320,Tomato,979.75,Lorem,Ipsum,
1197,2022,13,21,P-38072,Iceberg Lettuce,589.50,Lorem,Ipsum,
1198,2017,13,17,P-79941,Cucumber,882.75,Lorem,Ipsum,
1199,2017,06,17,P-88367,arugola,49.50,Lorem,Ipsum,
